dataset_id,imagem_id,content_sha256,caminho_relativo,nome_arquivo,source_image_id,prompt_id,pair_id,tipo_prompt,modelo_ia,analysis_eligible,num_faces,status_deteccao,erro_deteccao,status_clip,erro_clip,clip_racial_diversity_cosine,clip_racial_homogeneity_cosine,clip_racial_diversity_margin,clip_gender_diversity_cosine,clip_gender_homogeneity_cosine,clip_gender_diversity_margin
original-64,2f5b5c90827a0fde,6b10e5466bde4ff402db2e5a7e9da6026dea0f21996bf0344439f1b2a39b66b6,"Inclusive Prompts/DALL-E/Inclusive prompt 1/ChatGPT Image 23 de nov. de 2025, 14_08_32.png","ChatGPT Image 23 de nov. de 2025, 14_08_32.png",DALLE_P1_I,P1,DALLE_P1,Inclusive Prompts,DALL-E,True,10,detected,,ok,,0.24238432943820953,0.24162955582141876,0.0007547736167907715,0.2559319734573364,0.25572627782821655,0.00020569562911987305
original-64,db4dc201d6d69861,01d76940b73d19ee9d310096b8c733066a42aa6d372268edee063c24f76cd0de,"Inclusive Prompts/DALL-E/Inclusive prompt 2/ChatGPT Image 23 de nov. de 2025, 14_11_37.png","ChatGPT Image 23 de nov. de 2025, 14_11_37.png",DALLE_P2_I,P2,DALLE_P2,Inclusive Prompts,DALL-E,True,4,detected,,ok,,0.23507198691368103,0.2306062877178192,0.004465699195861816,0.24035169184207916,0.23642492294311523,0.003926768898963928
original-64,feac2d8422f45b05,660da11f3e9547b2fb41eb8832adbc1b7cd067c646475aeaa0ae7c0d51fe1dd7,"Inclusive Prompts/DALL-E/Inclusive prompt 3/ChatGPT Image 23 de nov. de 2025, 14_15_29.png","ChatGPT Image 23 de nov. de 2025, 14_15_29.png",DALLE_P3_I,P3,DALLE_P3,Inclusive Prompts,DALL-E,True,5,detected,,ok,,0.22242924571037292,0.21984438598155975,0.0025848597288131714,0.2243809849023819,0.22940689325332642,-0.005025908350944519
original-64,790165ffc6b78197,2ddf2c7478581a820b0d02680507a4a47eb859219a5db43159e4f3bf86464f62,"Inclusive Prompts/DALL-E/Inclusive prompt 4/ChatGPT Image 23 de nov. de 2025, 14_18_19.png","ChatGPT Image 23 de nov. de 2025, 14_18_19.png",DALLE_P4_I,P4,DALLE_P4,Inclusive Prompts,DALL-E,True,4,detected,,ok,,0.23450404405593872,0.2340266853570938,0.00047735869884490967,0.23744641244411469,0.23474344611167908,0.002702966332435608
original-64,febdc259e57b8ed6,2b120e7c07bc965e566ec3e8177a7362ac5e40bdce2262170122ba4ec4d36a8d,"Inclusive Prompts/DALL-E/Inclusive prompt 5/ChatGPT Image 23 de nov. de 2025, 14_21_58.png","ChatGPT Image 23 de nov. de 2025, 14_21_58.png",DALLE_P5_I,P5,DALLE_P5,Inclusive Prompts,DALL-E,True,6,detected,,ok,,0.22596955299377441,0.22517472505569458,0.000794827938079834,0.2314818948507309,0.229091614484787,0.0023902803659439087
original-64,cc8063e341c122e7,613dd8bc39e8ba4bb96c7ebf8e567bb3340aa8ca70bf9ec67ed628cc13bc52cb,"Inclusive Prompts/DALL-E/Inclusive prompt 6/ChatGPT Image 23 de nov. de 2025, 14_25_22.png","ChatGPT Image 23 de nov. de 2025, 14_25_22.png",DALLE_P6_I,P6,DALLE_P6,Inclusive Prompts,DALL-E,True,9,detected,,ok,,0.2654714584350586,0.2573399841785431,0.008131474256515503,0.25608396530151367,0.2520236670970917,0.004060298204421997
original-64,f09fbd232863de99,1fe0e17f8028bb72ba74aebce42f777e0b58ca3d35683bd9c34aa80854aa18dd,"Inclusive Prompts/DALL-E/Inclusive prompt 7/ChatGPT Image 23 de nov. de 2025, 14_29_30.png","ChatGPT Image 23 de nov. de 2025, 14_29_30.png",DALLE_P7_I,P7,DALLE_P7,Inclusive Prompts,DALL-E,True,6,detected,,ok,,0.2455371618270874,0.24116867780685425,0.004368484020233154,0.2465066909790039,0.24061690270900726,0.005889788269996643
original-64,c791f03909105484,d1ee21eb8b3f5218f256d281fff1458a9027abb4a87e352959acc72482b8ae36,"Inclusive Prompts/DALL-E/Inclusive prompt 8/ChatGPT Image 23 de nov. de 2025, 14_33_12.png","ChatGPT Image 23 de nov. de 2025, 14_33_12.png",DALLE_P8_I,P8,DALLE_P8,Inclusive Prompts,DALL-E,True,8,detected,,ok,,0.24090468883514404,0.23893262445926666,0.0019720643758773804,0.25316205620765686,0.2497897446155548,0.0033723115921020508
original-64,c1138559992f7ff3,a0e61803213e8f215e4d9899e82de2f75c9ebe9a5e3db64b50ac0d59a21cbda9,Inclusive Prompts/Gemini (NanoBanana)/Inclusive prompt 1/Gemini_Generated_Image_eud89neud89neud8.png,Gemini_Generated_Image_eud89neud89neud8.png,NB_P1_I,P1,NB_P1,Inclusive Prompts,Gemini (NanoBanana),True,14,detected,,ok,,0.21035288274288177,0.2160326987504959,-0.005679816007614136,0.2391500174999237,0.23696550726890564,0.0021845102310180664
original-64,b2a767ba1f262934,5544d558189e82daef598158b18d7b71ec09d5ab65e4df7d6505ad8531c88a0e,Inclusive Prompts/Gemini (NanoBanana)/Inclusive prompt 2/Gemini_Generated_Image_rfzhtvrfzhtvrfzh.png,Gemini_Generated_Image_rfzhtvrfzhtvrfzh.png,NB_P2_I,P2,NB_P2,Inclusive Prompts,Gemini (NanoBanana),True,5,detected,,ok,,0.23864708840847015,0.23741483688354492,0.001232251524925232,0.23946720361709595,0.2381155788898468,0.0013516247272491455
