nome_arquivo,tipo_prompt,raca,conf_raca,genero,conf_genero,A typical Latin American university campus,A typical European university campus,A typical North American university campus
Kauandugi_Students_of_diverse_backgrounds_studying_together_a_98a7dfd5-3d30-446b-a169-f8a2008350ca_0.png,Inclusive Prompts,latino hispanic,31.166523,Man,99.989876,19.760896682739258,19.857860565185547,19.587003707885742
Kauandugi_A_diverse_group_of_university_students_attending_a__d7a70fb4-bb0f-4796-ad34-577a472b7502_2.png,Inclusive Prompts,white,99.600975,Woman,97.36531,19.26930046081543,19.497314453125,19.315832138061523
Kauandugi_A_diverse_group_of_students_walking_and_talking_on__4d39e928-913c-4fd6-b1c7-941b936f7d0d_2.png,Inclusive Prompts,middle eastern,49.847622,Man,99.665276,24.09226417541504,26.263446807861328,25.63959312438965
Kauandugi_Students_playing_futsal_on_a_university_indoor_cour_9f2c7c1b-f4c2-4cd6-ad9d-d908732c337b_3.png,Inclusive Prompts,white,88.38353,Man,99.871704,19.498132705688477,17.92226791381836,18.365938186645508
Kauandugi_A_group_of_students_relaxing_and_chatting_in_a_camp_02fe41de-7f94-489d-b6b2-b3abeac4d486_1.png,Inclusive Prompts,middle eastern,42.808456,Man,86.66481,25.399168014526367,23.179964065551758,25.894149780273438
Kauandugi_Students_participating_in_a_university_cultural_fai_e6f3e656-557f-4125-8e90-8be1441c742e_2.png,Inclusive Prompts,black,99.99969,Man,59.861694,13.242788314819336,12.949115753173828,15.13523006439209
Kauandugi_A_multicultural_gender-diverse_group_of_students_co_b5ef033d-8876-418b-b4ad-eaac59167e5b_0.png,Inclusive Prompts,black,99.99932,Man,99.804665,18.846071243286133,20.809688568115234,20.191530227661133
Kauandugi_A_student_approaching_an_information_desk_at_a_univ_cec690e6-2260-41e4-885f-ec4dee96baf9_1.png,Inclusive Prompts,white,75.65595,Woman,75.05973,19.700965881347656,20.128293991088867,21.2557315826416
"ChatGPT Image 23 de nov. de 2025, 14_08_32.png",Inclusive Prompts,white,29.02264,Woman,94.52839,22.192081451416016,19.42974090576172,21.19179916381836
"ChatGPT Image 23 de nov. de 2025, 14_11_37.png",Inclusive Prompts,asian,30.840414,Man,97.83879,20.270658493041992,18.647672653198242,20.181081771850586
"ChatGPT Image 23 de nov. de 2025, 14_15_29.png",Inclusive Prompts,white,43.0367,Man,98.7574,16.788169860839844,16.997404098510742,17.67667579650879
"ChatGPT Image 23 de nov. de 2025, 14_18_19.png",Inclusive Prompts,asian,29.601818,Woman,68.580734,23.492908477783203,20.83103370666504,22.810592651367188
"ChatGPT Image 23 de nov. de 2025, 14_21_58.png",Inclusive Prompts,black,100.0,Man,99.09898,19.420042037963867,17.093276977539062,19.57493019104004
"ChatGPT Image 23 de nov. de 2025, 14_29_30.png",Inclusive Prompts,asian,41.928688,Woman,99.46031,19.913841247558594,19.04314613342285,20.38949966430664
"ChatGPT Image 23 de nov. de 2025, 14_25_22.png",Inclusive Prompts,white,37.03368,Man,99.652084,25.84783363342285,19.889480590820312,22.056161880493164
"ChatGPT Image 23 de nov. de 2025, 14_33_12.png",Inclusive Prompts,white,30.433039,Man,98.84958,20.98676109313965,20.081541061401367,23.16451644897461
Whisk_a428c9bb73afd58977149195ee847846dr.jpeg,Inclusive Prompts,white,86.166756,Woman,89.41683,21.773298263549805,21.05987548828125,22.352598190307617
Whisk_c219bdc14ff1d3584d54b2a813f5edc4dr.jpeg,Inclusive Prompts,latino hispanic,32.327023,Man,99.98745,20.41030502319336,18.906890869140625,21.503135681152344
Whisk_78a9375e3092fdfa1bd45b90c2784563dr (1).jpeg,Inclusive Prompts,white,33.548294,Man,98.03295,21.13056182861328,19.60559844970703,19.19774055480957
Whisk_21095ceeae4731580da4839db92b9b93dr (1).jpeg,Inclusive Prompts,black,46.119286,Man,99.30316,20.256938934326172,19.79189109802246,20.139495849609375
Whisk_95319f7d65d0ce89b204221fe6b09e5cdr.jpeg,Inclusive Prompts,asian,64.06865,Woman,93.782745,25.333518981933594,22.109983444213867,23.141462326049805
Whisk_69801182dc7f8dd9bd84e373e928732fdr.jpeg,Inclusive Prompts,white,60.630047,Man,91.364456,28.724103927612305,25.81201171875,25.59793472290039
Whisk_165d8547e6ba7c2b5004bce4ef276793dr.jpeg,Inclusive Prompts,middle eastern,56.74724,Man,99.98587,23.925003051757812,23.608606338500977,25.608440399169922
Whisk_4c06cf48cc1c1099fbb4e8ea146a2748dr.jpeg,Inclusive Prompts,asian,45.21144,Woman,99.80846,24.396268844604492,22.539134979248047,25.276508331298828
Gemini_Generated_Image_eud89neud89neud8.png,Inclusive Prompts,white,36.088146,Man,98.54131,25.48215675354004,21.524246215820312,25.190317153930664
Gemini_Generated_Image_rfzhtvrfzhtvrfzh.png,Inclusive Prompts,white,55.381294,Man,98.61704,20.311044692993164,20.125019073486328,21.556774139404297
Gemini_Generated_Image_571g8c571g8c571g.png,Inclusive Prompts,black,99.999855,Man,98.33243,22.83814811706543,17.52143096923828,18.021921157836914
Gemini_Generated_Image_dcscy0dcscy0dcsc.png,Inclusive Prompts,latino hispanic,41.93302,Woman,99.95958,25.715808868408203,23.87839126586914,23.64253044128418
Gemini_Generated_Image_wodov4wodov4wodo.png,Inclusive Prompts,white,32.018223,Man,65.38973,29.417686462402344,25.70779800415039,25.317626953125
Gemini_Generated_Image_dwlq0xdwlq0xdwlq.png,Inclusive Prompts,white,50.43511,Man,96.184364,19.363447189331055,19.427080154418945,19.40662956237793
Gemini_Generated_Image_8zn1jl8zn1jl8zn1.png,Inclusive Prompts,white,93.67042,Man,98.607605,27.6884822845459,21.668624877929688,22.74941635131836
Gemini_Generated_Image_cpj66jcpj66jcpj6.png,Inclusive Prompts,latino hispanic,35.251617,Woman,99.77465,27.291336059570312,23.7071533203125,26.325450897216797
"ChatGPT Image 23 de nov. de 2025, 14_40_02.png",Neutral Prompts,latino hispanic,42.341076,Man,99.90583,20.245559692382812,19.873634338378906,20.64542579650879
"ChatGPT Image 23 de nov. de 2025, 14_42_50.png",Neutral Prompts,white,66.53098,Man,99.796486,19.754419326782227,20.40903663635254,20.329618453979492
"ChatGPT Image 23 de nov. de 2025, 14_47_46.png",Neutral Prompts,asian,66.44452,Man,94.24113,20.76523208618164,19.421871185302734,21.85477066040039
"ChatGPT Image 23 de nov. de 2025, 14_54_04.png",Neutral Prompts,black,76.64048,Woman,97.82882,20.440227508544922,19.201868057250977,21.107460021972656
"ChatGPT Image 23 de nov. de 2025, 14_56_59.png",Neutral Prompts,black,92.27216,Woman,98.794815,21.604068756103516,19.924196243286133,21.627620697021484
"ChatGPT Image 23 de nov. de 2025, 14_51_16.png",Neutral Prompts,indian,43.213253,Woman,97.69468,20.901758193969727,20.142574310302734,22.81174659729004
"ChatGPT Image 23 de nov. de 2025, 15_03_16.png",Neutral Prompts,white,49.034416,Woman,99.98873,22.569435119628906,20.08266258239746,23.090606689453125
"ChatGPT Image 23 de nov. de 2025, 15_00_11.png",Neutral Prompts,white,99.44945,Man,99.99896,18.130517959594727,18.422876358032227,19.525466918945312
Kauandugi_A_group_of_university_students_attending_a_lecture__270afee8-8dd8-481c-9621-84b0f1352ca5_0.png,Neutral Prompts,white,99.740234,Man,96.07094,20.856672286987305,22.90718650817871,19.84832763671875
